OBJECTID,STATEFP,COUNTYFP,GEOID,COUNTY,Longitude,Latitude
1,51,165,51165,Rockingham County VA,-78.87575676,38.51203566
2,5,119,5119,Pulaski County AR,-92.31191422,34.76998694
3,22,55,22055,Lafayette Parish LA,-92.06386872,30.20675322
4,22,97,22097,St. Landry Parish LA,-92.00586206,30.59884664
5,22,99,22099,St. Martin Parish LA,-91.60830688,30.12908658
6,22,105,22105,Tangipahoa Parish LA,-90.40567875,30.62662396
7,22,57,22057,Lafourche Parish LA,-90.42577266,29.56623853
8,22,15,22015,Bossier Parish LA,-93.60504561,32.67892464
9,22,63,22063,Livingston Parish LA,-90.72789468,30.44014851
10,22,51,22051,Jefferson Parish LA,-90.12738799,29.78716627
11,34,13,34013,Essex County NJ,-74.24704545,40.78723179
12,34,19,34019,Hunterdon County NJ,-74.91222924,40.56730032
13,29,99,29099,Jefferson County MO,-90.53773493,38.26106076
14,13,121,13121,Fulton County GA,-84.46699479,33.79027729
15,13,135,13135,Gwinnett County GA,-84.02359918,33.96172337
16,37,159,37159,Rowan County NC,-80.5247884,35.63947477
17,37,171,37171,Surry County NC,-80.68812511,36.4147722
18,17,161,17161,Rock Island County IL,-90.56735675,41.46730709
19,13,127,13127,Glynn County GA,-81.54071677,31.23089649
20,6,1,6001,Alameda County CA,-121.8888747,37.64689824
21,6,61,6061,Placer County CA,-120.7175436,39.06346676
22,6,37,6037,Los Angeles County CA,-118.2248095,34.32074337
23,6,95,6095,Solano County CA,-121.9328706,38.26996707
24,6,111,6111,Ventura County CA,-119.0836285,34.456504
25,6,19,6019,Fresno County CA,-119.6492932,36.75819485
26,6,107,6107,Tulare County CA,-118.8004749,36.22014606
27,6,83,6083,Santa Barbara County CA,-120.0164697,34.67288208
28,6,53,6053,Monterey County CA,-121.2391992,36.2171606
29,12,86,12086,Miami-Dade County FL,-80.56229293,25.61495281
30,12,73,12073,Leon County FL,-84.27792586,30.45802956
31,12,57,12057,Hillsborough County FL,-82.30916791,27.92908546
32,12,83,12083,Marion County FL,-82.05665611,29.21020232
33,42,3,42003,Allegheny County PA,-79.98119473,40.46882282
34,42,71,42071,Lancaster County PA,-76.24772579,40.042432
35,42,101,42101,Philadelphia County PA,-75.13390004,40.00766482
36,42,29,42029,Chester County PA,-75.74844026,39.97305911
37,45,45,45045,Greenville County SC,-82.37074371,34.89436972
38,45,13,45013,Beaufort County SC,-80.73021349,32.38553402
39,42,45,42045,Delaware County PA,-75.39906782,39.91669082
40,42,17,42017,Bucks County PA,-75.10687683,40.33696159
41,42,95,42095,Northampton County PA,-75.30755833,40.75417325
42,39,35,39035,Cuyahoga County OH,-81.65864095,41.42447412
43,42,41,42041,Cumberland County PA,-77.26551214,40.16363152
44,48,339,48339,Montgomery County TX,-95.50301506,30.30019175
45,48,29,48029,Bexar County TX,-98.520003,29.44893905
46,48,479,48479,Webb County TX,-99.33151912,27.76111279
47,48,61,48061,Cameron County TX,-97.51806243,26.13340144
48,48,187,48187,Guadalupe County TX,-97.94857304,29.58306004
49,48,355,48355,Nueces County TX,-97.61318227,27.72548558
