,GEOID,healthcare_total,POPESTIMATE2019,healthcare_prop
1,1001,1553,55869,2.779716838
2,1003,6673,223234,2.98923999
3,1005,326,24686,1.320586567
4,1007,432,22394,1.929088149
5,1009,1829,57826,3.162937087
6,1011,152,10101,1.504801505
7,1013,501,19448,2.57610037
8,1015,3099,113605,2.727872893
9,1017,854,33254,2.568112107
10,1019,996,26196,3.802107192
11,1021,965,44428,2.17205366
12,1023,283,12589,2.247994281
13,1025,540,23622,2.286004572
14,1027,375,13235,2.833396298
15,1029,299,14910,2.005365526
16,1031,1744,52342,3.331932291
17,1033,1730,55241,3.131731866
18,1035,177,12067,1.466810309
19,1037,289,10663,2.710306668
20,1039,1052,37049,2.839482847
21,1041,238,13772,1.72814406
22,1043,2540,83768,3.032184128
23,1045,1108,49172,2.253314895
24,1047,682,37196,1.833530487
25,1049,1470,71513,2.055570316
26,1051,2677,81209,3.296432661
27,1053,722,36633,1.970900554
28,1055,3098,102268,3.029295576
29,1057,430,16302,2.637713164
30,1059,481,31362,1.533703208
31,1061,661,26271,2.516082372
32,1063,22,8111,0.271236592
33,1065,282,14651,1.924783291
34,1067,497,17205,2.888695147
35,1069,3984,105882,3.762679209
36,1071,1307,51626,2.531670089
37,1073,26616,658573,4.041465411
38,1075,396,13805,2.868525896
39,1077,2715,92729,2.927886637
40,1079,695,32924,2.110922124
41,1081,5195,164542,3.157248605
42,1083,2416,98915,2.442501137
43,1085,107,9726,1.100143944
44,1087,264,18068,1.461146779
45,1089,10921,372909,2.928596521
46,1091,448,18863,2.37501988
47,1093,671,29709,2.258574843
48,1095,2294,96774,2.370471408
49,1097,12295,413210,2.97548462
50,1099,386,20733,1.861766266
51,1101,5227,226486,2.307868919
52,1103,3317,119679,2.771580645
53,1105,11,8923,0.123276925
54,1107,446,19930,2.237832413
55,1109,511,33114,1.543153953
56,1111,382,22722,1.681190036
57,1113,1489,57961,2.568968789
58,1115,2596,89512,2.90016981
59,1117,7278,217702,3.343102039
60,1119,198,12427,1.593304901
61,1121,1681,79978,2.101828003
62,1123,1097,40367,2.717566329
63,1125,6480,209355,3.095221036
64,1127,1990,63521,3.132822216
65,1129,323,16326,1.978439299
66,1131,120,10373,1.156849513
67,1133,671,23629,2.839730839
68,2013,14,3337,0.419538508
69,2016,41,5634,0.72772453
70,2020,10492,288000,3.643055556
71,2050,250,18386,1.35973023
72,2060,2,836,0.23923445
73,2068,14,2097,0.66762041
74,2070,276,4916,5.614320586
75,2090,2724,96849,2.81262584
76,2100,94,2530,3.71541502
77,2105,10,2148,0.465549348
78,2110,661,31974,2.067304685
79,2122,1770,58708,3.014921305
80,2130,317,13901,2.280411481
81,2150,170,12998,1.307893522
82,2158,18,8314,0.216502285
83,2164,12,1592,0.753768844
84,2170,2314,108317,2.136322092
85,2180,148,10004,1.479408237
86,2185,139,9832,1.413751017
87,2188,121,7621,1.587718147
88,2195,77,3266,2.357624005
89,2198,97,6203,1.563759471
90,2220,357,8493,4.203461674
91,2230,7,1183,0.591715976
92,2240,80,6893,1.160597708
93,2261,110,9202,1.195392306
94,2275,56,2502,2.238209432
95,2282,0,579,0
96,2290,41,5230,0.783938815
97,4001,1123,71887,1.562173967
98,4003,2091,125922,1.66055177
99,4005,3792,143476,2.642950737
100,4007,1078,54018,1.995631086
101,4009,584,38837,1.503720679
102,4011,89,9498,0.937039377
103,4012,185,21108,0.87644495
104,4013,120117,4485414,2.677946785
105,4015,4278,212181,2.016203147
106,4017,1938,110924,1.747142187
107,4019,29016,1047279,2.770608405
108,4021,7282,462789,1.57350326
