,GEOID,NAME,STATE_NAME,climate
1,10001,Kent,Delaware,Mixed-Humid
2,10003,New Castle,Delaware,Mixed-Humid
3,10005,Sussex,Delaware,Mixed-Humid
4,1001,Autauga,Alabama,Hot-Humid
5,1003,Baldwin,Alabama,Hot-Humid
6,1005,Barbour,Alabama,Hot-Humid
7,1007,Bibb,Alabama,Mixed-Humid
8,1009,Blount,Alabama,Mixed-Humid
9,1011,Bullock,Alabama,Hot-Humid
10,1013,Butler,Alabama,Hot-Humid
11,1015,Calhoun,Alabama,Mixed-Humid
12,1017,Chambers,Alabama,Mixed-Humid
13,1019,Cherokee,Alabama,Mixed-Humid
14,1021,Chilton,Alabama,Mixed-Humid
15,1023,Choctaw,Alabama,Hot-Humid
16,1025,Clarke,Alabama,Hot-Humid
17,1027,Clay,Alabama,Mixed-Humid
18,1029,Cleburne,Alabama,Mixed-Humid
19,1031,Coffee,Alabama,Hot-Humid
20,1033,Colbert,Alabama,Mixed-Humid
21,1035,Conecuh,Alabama,Hot-Humid
22,1037,Coosa,Alabama,Mixed-Humid
23,1039,Covington,Alabama,Hot-Humid
24,1041,Crenshaw,Alabama,Hot-Humid
25,1043,Cullman,Alabama,Mixed-Humid
26,1045,Dale,Alabama,Hot-Humid
27,1047,Dallas,Alabama,Hot-Humid
28,1049,DeKalb,Alabama,Mixed-Humid
29,1051,Elmore,Alabama,Hot-Humid
30,1053,Escambia,Alabama,Hot-Humid
31,1055,Etowah,Alabama,Mixed-Humid
32,1057,Fayette,Alabama,Mixed-Humid
33,1059,Franklin,Alabama,Mixed-Humid
34,1061,Geneva,Alabama,Hot-Humid
35,1063,Greene,Alabama,Mixed-Humid
36,1065,Hale,Alabama,Mixed-Humid
37,1067,Henry,Alabama,Hot-Humid
38,1069,Houston,Alabama,Hot-Humid
39,1071,Jackson,Alabama,Mixed-Humid
40,1073,Jefferson,Alabama,Mixed-Humid
41,1075,Lamar,Alabama,Mixed-Humid
42,1077,Lauderdale,Alabama,Mixed-Humid
43,1079,Lawrence,Alabama,Mixed-Humid
44,1081,Lee,Alabama,Mixed-Humid
45,1083,Limestone,Alabama,Mixed-Humid
46,1085,Lowndes,Alabama,Hot-Humid
47,1087,Macon,Alabama,Hot-Humid
48,1089,Madison,Alabama,Mixed-Humid
49,1091,Marengo,Alabama,Hot-Humid
50,1093,Marion,Alabama,Mixed-Humid
51,1095,Marshall,Alabama,Mixed-Humid
52,1097,Mobile,Alabama,Hot-Humid
53,1099,Monroe,Alabama,Hot-Humid
54,11001,District of Columbia,District of Columbia,Mixed-Humid
55,1101,Montgomery,Alabama,Hot-Humid
56,1103,Morgan,Alabama,Mixed-Humid
57,1105,Perry,Alabama,Hot-Humid
58,1107,Pickens,Alabama,Mixed-Humid
59,1109,Pike,Alabama,Hot-Humid
60,1111,Randolph,Alabama,Mixed-Humid
61,1113,Russell,Alabama,Hot-Humid
62,1115,St. Clair,Alabama,Mixed-Humid
63,1117,Shelby,Alabama,Mixed-Humid
64,1119,Sumter,Alabama,Mixed-Humid
65,1121,Talladega,Alabama,Mixed-Humid
66,1123,Tallapoosa,Alabama,Mixed-Humid
67,1125,Tuscaloosa,Alabama,Mixed-Humid
68,1127,Walker,Alabama,Mixed-Humid
69,1129,Washington,Alabama,Hot-Humid
70,1131,Wilcox,Alabama,Hot-Humid
71,1133,Winston,Alabama,Mixed-Humid
72,12001,Alachua,Florida,Hot-Humid
73,12003,Baker,Florida,Hot-Humid
74,12005,Bay,Florida,Hot-Humid
75,12007,Bradford,Florida,Hot-Humid
76,12009,Brevard,Florida,Hot-Humid
77,12011,Broward,Florida,Hot-Humid
78,12013,Calhoun,Florida,Hot-Humid
79,12015,Charlotte,Florida,Hot-Humid
80,12017,Citrus,Florida,Hot-Humid
81,12019,Clay,Florida,Hot-Humid
82,12021,Collier,Florida,Hot-Humid
83,12023,Columbia,Florida,Hot-Humid
84,12027,DeSoto,Florida,Hot-Humid
85,12029,Dixie,Florida,Hot-Humid
86,12031,Duval,Florida,Hot-Humid
87,12033,Escambia,Florida,Hot-Humid
88,12035,Flagler,Florida,Hot-Humid
89,12037,Franklin,Florida,Hot-Humid
90,12039,Gadsden,Florida,Hot-Humid
91,12041,Gilchrist,Florida,Hot-Humid
92,12043,Glades,Florida,Hot-Humid
93,12045,Gulf,Florida,Hot-Humid
94,12047,Hamilton,Florida,Hot-Humid
95,12049,Hardee,Florida,Hot-Humid
96,12051,Hendry,Florida,Hot-Humid
97,12053,Hernando,Florida,Hot-Humid
98,12055,Highlands,Florida,Hot-Humid
99,12057,Hillsborough,Florida,Hot-Humid
100,12059,Holmes,Florida,Hot-Humid
101,12061,Indian River,Florida,Hot-Humid
102,12063,Jackson,Florida,Hot-Humid
103,12065,Jefferson,Florida,Hot-Humid
104,12067,Lafayette,Florida,Hot-Humid
105,12069,Lake,Florida,Hot-Humid
106,12071,Lee,Florida,Hot-Humid
107,12073,Leon,Florida,Hot-Humid
108,12075,Levy,Florida,Hot-Humid
109,12077,Liberty,Florida,Hot-Humid
110,12079,Madison,Florida,Hot-Humid
111,12081,Manatee,Florida,Hot-Humid
112,12083,Marion,Florida,Hot-Humid
113,12085,Martin,Florida,Hot-Humid
114,12086,Miami-Dade,Florida,Hot-Humid
115,12087,Monroe,Florida,Hot-Humid
116,12089,Nassau,Florida,Hot-Humid
117,12091,Okaloosa,Florida,Hot-Humid
118,12093,Okeechobee,Florida,Hot-Humid
119,12095,Orange,Florida,Hot-Humid
120,12097,Osceola,Florida,Hot-Humid
121,12099,Palm Beach,Florida,Hot-Humid
122,12101,Pasco,Florida,Hot-Humid
123,12103,Pinellas,Florida,Hot-Humid
124,12105,Polk,Florida,Hot-Humid
125,12107,Putnam,Florida,Hot-Humid
126,12109,St. Johns,Florida,Hot-Humid
127,12111,St. Lucie,Florida,Hot-Humid
128,12113,Santa Rosa,Florida,Hot-Humid
129,12115,Sarasota,Florida,Hot-Humid
130,12117,Seminole,Florida,Hot-Humid
131,12119,Sumter,Florida,Hot-Humid
132,12121,Suwannee,Florida,Hot-Humid
133,12123,Taylor,Florida,Hot-Humid
134,12125,Union,Florida,Hot-Humid
135,12127,Volusia,Florida,Hot-Humid
136,12129,Wakulla,Florida,Hot-Humid
137,12131,Walton,Florida,Hot-Humid
138,12133,Washington,Florida,Hot-Humid
139,13001,Appling,Georgia,Hot-Humid
140,13003,Atkinson,Georgia,Hot-Humid
141,13005,Bacon,Georgia,Hot-Humid
142,13009,Baldwin,Georgia,Mixed-Humid
143,13011,Banks,Georgia,Mixed-Humid
144,13013,Barrow,Georgia,Mixed-Humid
145,13015,Bartow,Georgia,Mixed-Humid
146,13017,Ben Hill,Georgia,Hot-Humid
147,13019,Berrien,Georgia,Hot-Humid
148,13021,Bibb,Georgia,Mixed-Humid
149,13023,Bleckley,Georgia,Hot-Humid
150,13025,Brantley,Georgia,Hot-Humid
151,13027,Brooks,Georgia,Hot-Humid
152,13029,Bryan,Georgia,Hot-Humid
153,13031,Bulloch,Georgia,Hot-Humid
154,13033,Burke,Georgia,Mixed-Humid
155,13035,Butts,Georgia,Mixed-Humid
156,13037,Calhoun,Georgia,Hot-Humid
157,13039,Camden,Georgia,Hot-Humid
158,13043,Candler,Georgia,Hot-Humid
159,13045,Carroll,Georgia,Mixed-Humid
160,13047,Catoosa,Georgia,Mixed-Humid
161,13049,Charlton,Georgia,Hot-Humid
162,13051,Chatham,Georgia,Hot-Humid
163,13053,Chattahoochee,Georgia,Hot-Humid
164,13055,Chattooga,Georgia,Mixed-Humid
165,13057,Cherokee,Georgia,Mixed-Humid
166,13059,Clarke,Georgia,Mixed-Humid
167,13063,Clayton,Georgia,Mixed-Humid
168,13065,Clinch,Georgia,Hot-Humid
169,13067,Cobb,Georgia,Mixed-Humid
170,13069,Coffee,Georgia,Hot-Humid
171,13071,Colquitt,Georgia,Hot-Humid
172,13073,Columbia,Georgia,Mixed-Humid
173,13075,Cook,Georgia,Hot-Humid
174,13077,Coweta,Georgia,Mixed-Humid
175,13079,Crawford,Georgia,Mixed-Humid
176,13081,Crisp,Georgia,Hot-Humid
177,13083,Dade,Georgia,Mixed-Humid
178,13085,Dawson,Georgia,Mixed-Humid
179,13087,Decatur,Georgia,Hot-Humid
180,13089,DeKalb,Georgia,Mixed-Humid
181,13091,Dodge,Georgia,Hot-Humid
