,GEOID,date.100pop
1,1001,5/6/2020
2,1003,5/10/2020
3,1005,4/21/2020
4,1007,4/16/2020
5,1009,5/28/2020
6,1011,4/20/2020
7,1013,4/24/2020
8,1015,5/5/2020
9,1017,3/30/2020
10,1019,5/17/2020
11,1021,4/19/2020
12,1023,4/14/2020
13,1025,4/25/2020
14,1027,4/12/2020
15,1029,6/6/2020
16,1031,4/18/2020
17,1033,5/7/2020
18,1035,5/9/2020
19,1037,4/12/2020
20,1039,4/28/2020
21,1041,4/27/2020
22,1043,5/26/2020
23,1045,5/12/2020
24,1047,5/1/2020
25,1049,4/30/2020
26,1051,4/28/2020
27,1053,5/11/2020
28,1055,4/21/2020
29,1057,5/30/2020
30,1059,4/24/2020
31,1061,5/19/2020
32,1063,4/8/2020
33,1065,4/12/2020
34,1067,4/18/2020
35,1069,5/9/2020
36,1071,5/5/2020
37,1073,4/18/2020
38,1075,5/8/2020
39,1077,5/11/2020
40,1079,5/18/2020
41,1081,4/8/2020
42,1083,5/30/2020
43,1085,4/8/2020
44,1087,4/16/2020
45,1089,6/5/2020
46,1091,4/13/2020
47,1093,4/9/2020
48,1095,4/12/2020
49,1097,4/11/2020
50,1099,5/23/2020
51,1101,4/20/2020
52,1103,5/18/2020
53,80001,NA
54,1105,4/18/2020
55,1107,4/10/2020
56,1109,4/19/2020
57,1111,4/10/2020
58,1113,5/1/2020
59,1117,4/12/2020
60,1115,5/11/2020
61,1119,4/7/2020
62,1121,5/16/2020
63,1123,4/8/2020
64,1125,4/29/2020
65,90001,NA
66,1127,4/7/2020
67,1129,4/21/2020
68,1131,4/4/2020
69,1133,5/14/2020
70,2013,8/4/2020
71,2016,7/8/2020
72,2020,6/7/2020
73,2050,7/21/2020
74,2060,NA
75,2164,5/30/2020
76,2068,7/18/2020
77,2070,6/23/2020
78,2090,6/14/2020
79,2100,6/22/2020
80,2105,NA
81,2110,5/28/2020
82,2122,6/2/2020
83,2130,4/2/2020
84,2150,7/14/2020
85,2158,9/10/2020
86,2170,7/3/2020
87,2180,7/3/2020
88,2185,7/27/2020
89,2188,7/16/2020
90,80002,NA
91,2195,4/28/2020
92,2198,8/2/2020
93,2220,6/13/2020
94,2230,10/20/2020
95,2240,6/17/2020
96,90002,NA
97,2261,6/4/2020
98,2275,6/13/2020
99,2282,6/12/2020
100,2290,7/11/2020
101,60,NA
102,4001,4/12/2020
103,4003,6/7/2020
104,4005,4/4/2020
105,4007,6/13/2020
106,4009,6/3/2020
107,4011,6/7/2020
108,4012,5/8/2020
109,4013,5/3/2020
110,4015,5/13/2020
111,4017,4/2/2020
112,80004,NA
113,4019,4/24/2020
114,4021,5/4/2020
115,4023,5/12/2020
116,90004,NA
117,4025,5/14/2020
118,4027,5/13/2020
119,5001,6/19/2020
120,5003,6/2/2020
121,5005,7/19/2020
122,5007,5/24/2020
123,5009,7/9/2020
124,5011,4/29/2020
125,5013,7/20/2020
126,5015,6/2/2020
127,5017,5/18/2020
128,5019,3/31/2020
129,5021,6/13/2020
130,5023,3/23/2020
131,5025,4/9/2020
132,5027,5/30/2020
133,5029,6/14/2020
134,5031,5/13/2020
135,5033,6/16/2020
136,5035,4/5/2020
137,5037,4/30/2020
138,5039,6/28/2020
139,5041,4/23/2020
140,5043,5/6/2020
141,5045,6/11/2020
142,5047,6/29/2020
143,5049,7/1/2020
144,5051,4/13/2020
145,5053,6/7/2020
146,5055,5/25/2020
147,5057,6/5/2020
148,5059,6/4/2020
149,5061,4/19/2020
150,5063,6/12/2020
151,5065,5/19/2020
152,5067,6/17/2020
153,5069,4/7/2020
154,5071,4/26/2020
155,5073,4/27/2020
156,5075,4/17/2020
157,5077,5/12/2020
158,5079,4/13/2020
159,5081,6/5/2020
160,5083,6/20/2020
161,5085,6/16/2020
162,5087,5/30/2020
163,5089,7/22/2020
164,5091,5/31/2020
165,5093,5/5/2020
166,5095,6/13/2020
167,5097,7/16/2020
168,5099,6/4/2020
169,5101,7/4/2020
170,5103,7/7/2020
171,80005,NA
172,5105,5/15/2020
173,5107,5/29/2020
174,5109,7/7/2020
175,5111,5/5/2020
176,5113,6/1/2020
177,5115,5/17/2020
178,5117,6/16/2020
179,5119,4/22/2020
180,5121,5/1/2020
181,5125,6/5/2020
182,5127,6/29/2020
183,5129,7/3/2020
184,5131,6/12/2020
185,5133,5/10/2020
186,5135,5/12/2020
187,5123,4/7/2020
188,5137,6/22/2020
189,90005,NA
190,5139,4/28/2020
191,5141,3/28/2020
192,5143,5/24/2020
193,5145,6/24/2020
194,5147,7/2/2020
195,5149,5/17/2020
196,6001,5/2/2020
197,6003,4/11/2020
198,6005,7/11/2020
199,6007,7/7/2020
200,6009,7/2/2020
201,6011,6/29/2020
202,6013,5/18/2020
203,6015,5/25/2020
204,6017,7/1/2020
205,6019,5/14/2020
206,6021,6/15/2020
207,6023,7/2/2020
208,6025,4/22/2020
209,6027,4/22/2020
210,6029,5/1/2020
211,6031,5/3/2020
212,6033,7/1/2020
213,6035,6/25/2020
214,6037,4/14/2020
215,6039,6/7/2020
216,6041,5/10/2020
217,6043,6/17/2020
218,6045,7/7/2020
219,6047,5/28/2020
220,6049,8/29/2020
221,6051,4/2/2020
222,6053,5/28/2020
223,6055,6/6/2020
224,6057,6/25/2020
225,6059,5/8/2020
226,80006,NA
227,6061,6/16/2020
228,6063,7/13/2020
229,6065,4/19/2020
230,6067,6/7/2020
231,6069,5/19/2020
232,6071,5/2/2020
233,6073,4/29/2020
234,6075,4/13/2020
235,6077,5/26/2020
236,6079,6/4/2020
237,6081,4/16/2020
238,6083,4/23/2020
239,6085,4/22/2020
240,6087,6/19/2020
241,6089,7/11/2020
242,6091,8/10/2020
243,6093,7/16/2020
244,6095,5/22/2020
245,6097,5/25/2020
246,6099,5/16/2020
247,6101,6/18/2020
248,6103,6/29/2020
249,6105,8/30/2020
250,6107,4/24/2020
251,6109,7/7/2020
252,90006,NA
253,6111,5/20/2020
254,6113,6/6/2020
255,6115,7/1/2020
256,8001,4/10/2020
257,8003,5/6/2020
258,8005,4/7/2020
259,8007,7/16/2020
260,8009,4/2/2020
261,8011,8/4/2020
262,8013,4/17/2020
263,8014,4/11/2020
264,8015,4/4/2020
265,8017,5/8/2020
266,8019,4/9/2020
267,8021,6/19/2020
268,8023,5/13/2020
269,8025,5/8/2020
270,8027,7/13/2020
271,8029,4/27/2020
272,8031,4/4/2020
273,8033,9/12/2020
274,8035,4/17/2020
275,8037,3/20/2020
276,8041,4/18/2020
277,8039,4/24/2020
278,8043,7/16/2020
279,8045,4/15/2020
280,8047,6/25/2020
281,8049,6/14/2020
282,8051,3/21/2020
283,8053,3/21/2020
284,8055,8/5/2020
285,8057,6/30/2020
286,8059,4/8/2020
287,8061,10/15/2020
288,8063,4/12/2020
289,8067,4/25/2020
290,8065,4/22/2020
291,8069,4/30/2020
292,8071,7/30/2020
293,8073,7/17/2020
294,8075,4/21/2020
295,8077,7/15/2020
296,8079,3/29/2020
297,8081,6/30/2020
298,8083,5/16/2020
299,8085,4/11/2020
300,8087,4/9/2020
301,8089,5/31/2020
302,8091,4/17/2020
303,80008,NA
304,8093,5/19/2020
305,8095,4/17/2020
306,8097,3/23/2020
307,8099,5/27/2020
308,8101,5/8/2020
309,8103,8/1/2020
310,8105,5/21/2020
311,8107,4/3/2020
312,8109,5/12/2020
313,8111,4/26/2020
314,8113,4/3/2020
315,8115,7/15/2020
316,8117,4/1/2020
317,8119,4/24/2020
318,90008,NA
319,8121,4/14/2020
320,8123,4/2/2020
321,8125,5/10/2020
322,9001,3/29/2020
323,9003,4/7/2020
324,9005,4/4/2020
325,9007,4/9/2020
326,9009,4/3/2020
327,9011,4/17/2020
328,80009,NA
329,9013,4/10/2020
330,90009,NA
331,9015,4/22/2020
332,10001,4/8/2020
333,10003,4/7/2020
334,80010,NA
335,10005,4/8/2020
336,90010,NA
337,88888,NA
338,11001,4/3/2020
339,80011,NA
340,90011,NA
341,12001,5/1/2020
342,12003,6/12/2020
343,12005,6/19/2020
344,12007,4/12/2020
345,12009,6/16/2020
346,12011,4/6/2020
347,12013,5/3/2020
348,12015,4/24/2020
349,12017,6/15/2020
350,12019,4/18/2020
351,12021,4/15/2020
352,12023,5/3/2020
353,12027,5/4/2020
354,12029,5/14/2020
355,12031,4/25/2020
356,12033,4/21/2020
357,12035,4/25/2020
358,12037,7/5/2020
359,12039,4/17/2020
360,12041,6/5/2020
361,12043,5/20/2020
362,12045,6/24/2020
363,12047,5/10/2020
364,12049,5/2/2020
365,12051,4/20/2020
366,12053,6/22/2020
367,12055,5/19/2020
368,12057,5/12/2020
369,12059,6/2/2020
370,12061,6/6/2020
371,12063,5/8/2020
372,12065,4/15/2020
373,12067,6/4/2020
374,12069,6/12/2020
375,12071,4/20/2020
376,12073,5/19/2020
377,12075,6/5/2020
378,12077,5/3/2020
379,12079,4/17/2020
380,12081,4/19/2020
381,12083,6/20/2020
382,12085,4/22/2020
383,12086,4/2/2020
384,12087,4/24/2020
385,12089,6/13/2020
386,12091,5/30/2020
387,12093,5/18/2020
388,12095,5/1/2020
389,12097,4/16/2020
390,80012,NA
391,12099,4/12/2020
392,12101,6/16/2020
393,12103,5/15/2020
394,12105,5/17/2020
395,12107,4/23/2020
396,12113,5/18/2020
397,12115,5/12/2020
398,12117,5/28/2020
399,12109,6/3/2020
400,12111,5/18/2020
401,12119,4/18/2020
402,12121,4/8/2020
403,12123,5/31/2020
404,90012,NA
405,12125,5/16/2020
406,12127,5/12/2020
407,12129,5/30/2020
408,12131,5/15/2020
409,12133,5/23/2020
410,13001,4/19/2020
411,13003,5/1/2020
412,13005,4/8/2020
413,13007,3/31/2020
414,13009,4/12/2020
415,13011,4/29/2020
416,13013,4/17/2020
417,13015,3/28/2020
418,13017,4/21/2020
419,13019,5/14/2020
420,13021,4/17/2020
421,13023,4/30/2020
422,13025,4/20/2020
423,13027,4/8/2020
424,13029,4/23/2020
425,13031,6/5/2020
426,13033,4/11/2020
427,13035,4/10/2020
428,13037,3/31/2020
429,13039,5/24/2020
430,13043,5/20/2020
431,13045,3/31/2020
432,13047,5/14/2020
433,13049,5/7/2020
434,13051,5/8/2020
435,13053,4/28/2020
436,13055,6/2/2020
437,13057,4/17/2020
438,13059,4/27/2020
439,13061,3/31/2020
440,13063,4/8/2020
441,13065,4/15/2020
442,13067,4/13/2020
443,13069,4/8/2020
444,13071,4/4/2020
445,13073,4/30/2020
446,13075,4/28/2020
447,13077,4/17/2020
448,13079,4/17/2020
449,13081,4/3/2020
450,13083,4/27/2020
451,13085,4/13/2020
452,13089,4/10/2020
453,13087,4/8/2020
454,13091,4/22/2020
455,13093,4/4/2020
456,13095,3/24/2020
457,13097,4/11/2020
458,13099,3/28/2020
459,13101,4/22/2020
460,13103,5/26/2020
461,13105,4/29/2020
462,13107,5/7/2020
463,13109,6/17/2020
464,13111,4/28/2020
465,13113,4/14/2020
466,13115,4/9/2020
467,13117,4/25/2020
468,13119,5/5/2020
469,13121,4/7/2020
470,13123,4/25/2020
471,13125,6/20/2020
472,13127,5/25/2020
473,13129,4/19/2020
474,13131,4/16/2020
475,13133,4/7/2020
476,13135,4/17/2020
477,13137,4/16/2020
478,13139,4/8/2020
479,13141,4/20/2020
480,13143,5/5/2020
481,13145,4/18/2020
482,13147,5/28/2020
483,13149,5/3/2020
484,13151,4/10/2020
485,13153,4/17/2020
486,13155,4/9/2020
487,13157,4/24/2020
488,13159,4/19/2020
489,13161,4/30/2020
490,13163,5/5/2020
491,13165,4/11/2020
492,13167,4/8/2020
493,13169,5/1/2020
494,13171,4/14/2020
495,13173,5/10/2020
496,13175,4/24/2020
497,13177,3/26/2020
498,13179,5/22/2020
499,13181,4/11/2020
500,13183,6/13/2020
501,13185,4/22/2020
502,13187,4/28/2020
503,13193,4/9/2020
