cnty_fips,cnty_name,st,state,hospitals_in_cost_reports,Hospitals_in_HC,all_icu,Total_pop,60plus,60plus_pct,60plus_per_each_icu_bed
01001,Autauga,AL,Alabama,1,1,6,55036,10523,0.191,1754
01003,Baldwin,AL,Alabama,3,3,51,203360,53519,0.263,1049
01005,Barbour,AL,Alabama,1,1,5,26201,6150,0.235,1230
01007,Bibb,AL,Alabama,1,1,0,22580,4773,0.211,
01009,Blount,AL,Alabama,1,1,6,57667,13600,0.236,2267
01011,Bullock,AL,Alabama,1,1,0,10478,2371,0.226,
01013,Butler,AL,Alabama,1,1,7,20126,5151,0.256,736
01015,Calhoun,AL,Alabama,2,2,24,115527,27115,0.235,1130
01017,Chambers,AL,Alabama,0,0,0,33895,8501,0.251,
01019,Cherokee,AL,Alabama,1,1,0,25855,7513,0.291,
01021,Chilton,AL,Alabama,1,1,6,43805,9429,0.215,1572
01023,Choctaw,AL,Alabama,1,1,0,13188,3759,0.285,
01025,Clarke,AL,Alabama,2,2,0,24625,6134,0.249,
01027,Clay,AL,Alabama,1,1,4,13407,3480,0.26,870
01029,Cleburne,AL,Alabama,0,0,0,14939,3691,0.247,
01031,Coffee,AL,Alabama,1,1,7,51073,11027,0.216,1575
01033,Colbert,AL,Alabama,2,2,22,54435,14062,0.258,639
01035,Conecuh,AL,Alabama,1,1,0,12649,3542,0.28,
01037,Coosa,AL,Alabama,0,0,0,10955,3145,0.287,
01039,Covington,AL,Alabama,2,2,13,37519,10290,0.274,792
01041,Crenshaw,AL,Alabama,1,1,0,13866,3371,0.243,
01043,Cullman,AL,Alabama,1,1,12,81703,19667,0.241,1639
01045,Dale,AL,Alabama,1,1,6,49393,10498,0.213,1750
01047,Dallas,AL,Alabama,1,1,18,40755,9436,0.232,524
01049,DeKalb,AL,Alabama,1,1,12,71194,15782,0.222,1315
01051,Elmore,AL,Alabama,2,2,5,80989,15929,0.197,3186
01053,Escambia,AL,Alabama,2,2,14,37621,8677,0.231,620
01055,Etowah,AL,Alabama,2,2,56,103132,25122,0.244,449
01057,Fayette,AL,Alabama,2,2,12,16657,4604,0.276,384
01059,Franklin,AL,Alabama,2,2,7,31507,7054,0.224,1008
01061,Geneva,AL,Alabama,1,1,6,26572,6716,0.253,1119
01063,Greene,AL,Alabama,1,1,0,8533,2352,0.276,
01065,Hale,AL,Alabama,1,1,0,14995,3945,0.263,
