"","fipscode","county","obesity_rate","smoke_rate"
"1",0,"United States",0.29,0.170800174
"2",1000,"Alabama",0.355,0.209273531
"3",1001,"Autauga County",0.333,0.180815572
"4",1003,"Baldwin County",0.31,0.174890326
"5",1005,"Barbour County",0.417,0.219999845
"6",1007,"Bibb County",0.376,0.191141999
"7",1009,"Blount County",0.338,0.19208672
"8",1011,"Bullock County",0.372,0.22894664
"9",1013,"Butler County",0.433,0.21765335
"10",1015,"Calhoun County",0.385,0.206125604
"11",1017,"Chambers County",0.401,0.193929271
"12",1019,"Cherokee County",0.35,0.174986738
"13",1021,"Chilton County",0.377,0.201889791
"14",1023,"Choctaw County",0.413,0.187932483
"15",1025,"Clarke County",0.341,0.205796553
"16",1027,"Clay County",0.406,0.196203542
"17",1029,"Cleburne County",0.373,0.183744658
"18",1031,"Coffee County",0.342,0.174447576
"19",1033,"Colbert County",0.306,0.186588211
"20",1035,"Conecuh County",0.43,0.21107513
"21",1037,"Coosa County",0.403,0.203999656
"22",1039,"Covington County",0.317,0.192494515
"23",1041,"Crenshaw County",0.38,0.186469296
"24",1043,"Cullman County",0.369,0.179010712
"25",1045,"Dale County",0.372,0.200573949
"26",1047,"Dallas County",0.431,0.24088991
"27",1049,"DeKalb County",0.292,0.210282708
"28",1051,"Elmore County",0.343,0.174525019
"29",1053,"Escambia County",0.394,0.224125846
"30",1055,"Etowah County",0.355,0.201473986
"31",1057,"Fayette County",0.41,0.180015933
"32",1059,"Franklin County",0.343,0.19250583
"33",1061,"Geneva County",0.387,0.200036033
"34",1063,"Greene County",0.355,0.246328187
"35",1065,"Hale County",0.404,0.220772913
"36",1067,"Henry County",0.363,0.184298454
"37",1069,"Houston County",0.381,0.192497828
"38",1071,"Jackson County",0.387,0.199589209
"39",1073,"Jefferson County",0.346,0.176220453
"40",1075,"Lamar County",0.357,0.20430552
"41",1077,"Lauderdale County",0.325,0.166560043
"42",1079,"Lawrence County",0.326,0.201876462
"43",1081,"Lee County",0.299,0.175601404
"44",1083,"Limestone County",0.339,0.181733566
"45",1085,"Lowndes County",0.469,0.226159112
"46",1087,"Macon County",0.496,0.214146964
"47",1089,"Madison County",0.329,0.168201727
"48",1091,"Marengo County",0.422,0.213560004
"49",1093,"Marion County",0.368,0.190602036
"50",1095,"Marshall County",0.344,0.210178535
"51",1097,"Mobile County",0.363,0.193699692
"52",1099,"Monroe County",0.418,0.23257539
"53",1101,"Montgomery County",0.377,0.196831529
"54",1103,"Morgan County",0.324,0.188557062
"55",1105,"Perry County",0.434,0.260030886
"56",1107,"Pickens County",0.349,0.21199123
"57",1109,"Pike County",0.362,0.206046562
"58",1111,"Randolph County",0.374,0.189983575
"59",1113,"Russell County",0.451,0.217913198
"60",1115,"St. Clair County",0.366,0.183353013
"61",1117,"Shelby County",0.35,0.155611575
"62",1119,"Sumter County",0.428,0.22491915
"63",1121,"Talladega County",0.388,0.231598623
"64",1123,"Tallapoosa County",0.36,0.181800672
"65",1125,"Tuscaloosa County",0.346,0.178726324
"66",1127,"Walker County",0.396,0.226809846
"67",1129,"Washington County",0.329,0.207900921
"68",1131,"Wilcox County",0.477,0.220666302
"69",1133,"Winston County",0.378,0.196479681
"70",2000,"Alaska",0.325,0.210078537
"71",2013,"Aleutians East Borough",0.505,0.166468109
"72",2016,"Aleutians West Census Area",0.443,0.151428234
"73",2020,"Anchorage Borough",0.318,0.15041432
"74",2050,"Bethel Census Area",0.31,0.304180171
"75",2060,"Bristol Bay Borough",0.418,0.181376436
"76",2068,"Denali Borough",0.253,0.175746877
"77",2070,"Dillingham Census Area",0.356,0.269308172
"78",2090,"Fairbanks North Star Borough",0.3,0.158535789
"79",2100,"Haines Borough",0.27,0.161178286
"80",2105,"Hoonah-Angoon Census Area",0.322,0.200737377
"81",2110,"Juneau Borough",0.273,0.165848709
"82",2122,"Kenai Peninsula Borough",0.327,0.173381531
"83",2130,"Ketchikan Gateway Borough",0.382,0.169351001
"84",2150,"Kodiak Island Borough",0.341,0.154389732
"85",2158,"Kusilvak Census Area",0.232,0.410009486
"86",2164,"Lake and Peninsula Borough",0.378,0.283011888
"87",2170,"Matanuska-Susitna Borough",0.344,0.175005795
"88",2180,"Nome Census Area",0.403,0.315305729
"89",2185,"North Slope Borough",0.401,0.238510866
"90",2188,"Northwest Arctic Borough",0.421,0.305169179
"91",2195,"Petersburg Census Area",0.25,0.151875384
"92",2198,"Prince of Wales-Hyder Census Area",0.449,0.222722279
"93",2220,"Sitka Borough",0.266,0.16250455
"94",2230,"Skagway Municipality",0.326,0.155843852
"95",2240,"Southeast Fairbanks Census Area",0.328,0.196101703
"96",2261,"Valdez-Cordova Census Area",0.348,0.165906227
"97",2275,"Wrangell City",0.426,0.173844844
"98",2282,"Yakutat Borough",0.319,0.198799467
"99",2290,"Yukon-Koyukuk Census Area",0.305,0.296914336
"100",4000,"Arizona",0.275,0.15555003
"101",4001,"Apache County",0.335,0.21513107
"102",4003,"Cochise County",0.298,0.149958457
"103",4005,"Coconino County",0.238,0.15990186
"104",4007,"Gila County",0.308,0.176281047
"105",4009,"Graham County",0.348,0.17534493
"106",4011,"Greenlee County",0.293,0.142699499
"107",4012,"La Paz County",0.302,0.155210102
"108",4013,"Maricopa County",0.269,0.136863983
"109",4015,"Mohave County",0.318,0.19352843
"110",4017,"Navajo County",0.34,0.206119784
"111",4019,"Pima County",0.25,0.149164612
"112",4021,"Pinal County",0.326,0.162744735
"113",4023,"Santa Cruz County",0.269,0.145714493
"114",4025,"Yavapai County",0.23,0.170653301
"115",4027,"Yuma County",0.369,0.133270359
"116",5000,"Arkansas",0.342,0.222862588
"117",5001,"Arkansas County",0.306,0.200832304
"118",5003,"Ashley County",0.426,0.204520669
"119",5005,"Baxter County",0.337,0.162428159
"120",5007,"Benton County",0.293,0.165131567
"121",5009,"Boone County",0.344,0.199029944
"122",5011,"Bradley County",0.464,0.217676305
"123",5013,"Calhoun County",0.294,0.206248557
"124",5015,"Carroll County",0.277,0.183727337
"125",5017,"Chicot County",0.388,0.231034095
"126",5019,"Clark County",0.269,0.193394737
"127",5021,"Clay County",0.426,0.20333191
"128",5023,"Cleburne County",0.366,0.174093981
"129",5025,"Cleveland County",0.355,0.190385598
"130",5027,"Columbia County",0.364,0.204764249
"131",5029,"Conway County",0.368,0.190009338
"132",5031,"Craighead County",0.382,0.207629208
"133",5033,"Crawford County",0.352,0.190041771
"134",5035,"Crittenden County",0.413,0.23311338
"135",5037,"Cross County",0.389,0.204880094
"136",5039,"Dallas County",0.385,0.192119061
"137",5041,"Desha County",0.379,0.242518485
"138",5043,"Drew County",0.408,0.208316998
"139",5045,"Faulkner County",0.352,0.205350153
"140",5047,"Franklin County",0.34,0.21150184
"141",5049,"Fulton County",0.277,0.200121151
"142",5051,"Garland County",0.295,0.194158447
"143",5053,"Grant County",0.357,0.182222458
"144",5055,"Greene County",0.364,0.196222168
"145",5057,"Hempstead County",0.291,0.221766582
"146",5059,"Hot Spring County",0.361,0.203335269
"147",5061,"Howard County",0.445,0.21855605
"148",5063,"Independence County",0.286,0.19872211
"149",5065,"Izard County",0.345,0.196610893
"150",5067,"Jackson County",0.43,0.220981244
"151",5069,"Jefferson County",0.408,0.21331823
"152",5071,"Johnson County",0.395,0.207524652
"153",5073,"Lafayette County",0.462,0.201454841
"154",5075,"Lawrence County",0.323,0.193946418
"155",5077,"Lee County",0.394,0.24770229
"156",5079,"Lincoln County",0.326,0.224674207
"157",5081,"Little River County",0.378,0.210647472
"158",5083,"Logan County",0.328,0.203994562
"159",5085,"Lonoke County",0.43,0.185859727
"160",5087,"Madison County",0.347,0.208138683
"161",5089,"Marion County",0.288,0.199220106
"162",5091,"Miller County",0.343,0.214787182
"163",5093,"Mississippi County",0.409,0.236447125
"164",5095,"Monroe County",0.385,0.222404612
"165",5097,"Montgomery County",0.29,0.184704266
"166",5099,"Nevada County",0.356,0.212858227
"167",5101,"Newton County",0.32,0.190078145
"168",5103,"Ouachita County",0.381,0.228454786
"169",5105,"Perry County",0.333,0.189169736
"170",5107,"Phillips County",0.428,0.243544072
"171",5109,"Pike County",0.336,0.200615369
"172",5111,"Poinsett County",0.417,0.218118114
"173",5113,"Polk County",0.336,0.204839633
"174",5115,"Pope County",0.344,0.193856287
"175",5117,"Prairie County",0.444,0.185468038
"176",5119,"Pulaski County",0.332,0.181808894
"177",5121,"Randolph County",0.35,0.204861188
"178",5123,"St. Francis County",0.429,0.241277176
"179",5125,"Saline County",0.302,0.164905187
"180",5127,"Scott County",0.384,0.20044697
"181",5129,"Searcy County",0.323,0.199246474
"182",5131,"Sebastian County",0.311,0.2164902
"183",5133,"Sevier County",0.333,0.195614798
"184",5135,"Sharp County",0.378,0.210888798
"185",5137,"Stone County",0.389,0.204594515
"186",5139,"Union County",0.346,0.199232116
"187",5141,"Van Buren County",0.372,0.189956321
"188",5143,"Washington County",0.298,0.18972601
"189",5145,"White County",0.314,0.193455673
"190",5147,"Woodruff County",0.421,0.214454038
"191",5149,"Yell County",0.377,0.208075264
"192",6000,"California",0.236,0.113362627
"193",6001,"Alameda County",0.194,0.097327103
"194",6003,"Alpine County",0.23,0.144551237
"195",6005,"Amador County",0.297,0.108321897
"196",6007,"Butte County",0.272,0.137683273
"197",6009,"Calaveras County",0.305,0.109519356
"198",6011,"Colusa County",0.405,0.122172559
"199",6013,"Contra Costa County",0.24,0.099405871
"200",6015,"Del Norte County",0.344,0.151322448
"201",6017,"El Dorado County",0.225,0.112203607
"202",6019,"Fresno County",0.314,0.133589078
"203",6021,"Glenn County",0.323,0.13180789
"204",6023,"Humboldt County",0.29,0.144685084
"205",6025,"Imperial County",0.346,0.128400107
"206",6027,"Inyo County",0.277,0.118338474
"207",6029,"Kern County",0.323,0.153141772
"208",6031,"Kings County",0.294,0.142705211
"209",6033,"Lake County",0.251,0.144012009
"210",6035,"Lassen County",0.409,0.137187871
"211",6037,"Los Angeles County",0.217,0.108476781
"212",6039,"Madera County",0.358,0.134442841
"213",6041,"Marin County",0.166,0.097252338
"214",6043,"Mariposa County",0.238,0.117452632
"215",6045,"Mendocino County",0.321,0.129054138
"216",6047,"Merced County",0.284,0.141296065
"217",6049,"Modoc County",0.283,0.138244584
"218",6051,"Mono County",0.254,0.119367182
"219",6053,"Monterey County",0.277,0.122499909
"220",6055,"Napa County",0.238,0.09932848
"221",6057,"Nevada County",0.22,0.115082966
"222",6059,"Orange County",0.194,0.093111974
"223",6061,"Placer County",0.208,0.097846207
"224",6063,"Plumas County",0.269,0.114895556
"225",6065,"Riverside County",0.271,0.124999443
"226",6067,"Sacramento County",0.289,0.115500286
"227",6069,"San Benito County",0.323,0.107831853
"228",6071,"San Bernardino County",0.288,0.126282766
"229",6073,"San Diego County",0.203,0.107531753
"230",6075,"San Francisco County",0.184,0.103260624
"231",6077,"San Joaquin County",0.327,0.117061662
"232",6079,"San Luis Obispo County",0.255,0.107832969
"233",6081,"San Mateo County",0.212,0.086133573
"234",6083,"Santa Barbara County",0.246,0.113773106
"235",6085,"Santa Clara County",0.194,0.08269014
"236",6087,"Santa Cruz County",0.19,0.114408343
"237",6089,"Shasta County",0.238,0.13963535
"238",6091,"Sierra County",0.247,0.118083072
"239",6093,"Siskiyou County",0.318,0.14066326
"240",6095,"Solano County",0.303,0.117050743
"241",6097,"Sonoma County",0.224,0.100756765
"242",6099,"Stanislaus County",0.305,0.127897511
"243",6101,"Sutter County",0.318,0.119521525
"244",6103,"Tehama County",0.279,0.142589738
"245",6105,"Trinity County",0.335,0.14700217
"246",6107,"Tulare County",0.371,0.137997122
"247",6109,"Tuolumne County",0.332,0.113430194
"248",6111,"Ventura County",0.207,0.105610218
"249",6113,"Yolo County",0.239,0.109065776
"250",6115,"Yuba County",0.344,0.141791401
"251",8000,"Colorado",0.218,0.146295048
"252",8001,"Adams County",0.278,0.163246054
"253",8003,"Alamosa County",0.24,0.172846426
"254",8005,"Arapahoe County",0.221,0.132635525
"255",8007,"Archuleta County",0.239,0.134760711
"256",8009,"Baca County",0.308,0.151714256
"257",8011,"Bent County",0.3,0.182172674
"258",8013,"Boulder County",0.152,0.113184418
"259",8014,"Broomfield County",0.196,0.11625378
"260",8015,"Chaffee County",0.156,0.134888729
"261",8017,"Cheyenne County",0.238,0.140000255
"262",8019,"Clear Creek County",0.222,0.124832167
"263",8021,"Conejos County",0.261,0.15554175
"264",8023,"Costilla County",0.279,0.171044968
"265",8025,"Crowley County",0.309,0.186290929
"266",8027,"Custer County",0.279,0.136581914
"267",8029,"Delta County",0.267,0.145992824
"268",8031,"Denver County",0.166,0.146645034
"269",8033,"Dolores County",0.207,0.15279428
"270",8035,"Douglas County",0.196,0.10723986
"271",8037,"Eagle County",0.129,0.125469024
"272",8039,"Elbert County",0.28,0.127320647
"273",8041,"El Paso County",0.223,0.142649099
"274",8043,"Fremont County",0.273,0.155698366
"275",8045,"Garfield County",0.234,0.137636287
"276",8047,"Gilpin County",0.27,0.127421288
"277",8049,"Grand County",0.183,0.141686445
"278",8051,"Gunnison County",0.166,0.149713506
"279",8053,"Hinsdale County",0.244,0.128948427
"280",8055,"Huerfano County",0.266,0.131736373
"281",8057,"Jackson County",0.28,0.144629516
"282",8059,"Jefferson County",0.206,0.123201255
"283",8061,"Kiowa County",0.301,0.144157975
"284",8063,"Kit Carson County",0.311,0.141191939
"285",8065,"Lake County",0.248,0.14969633
"286",8067,"La Plata County",0.184,0.147784778
"287",8069,"Larimer County",0.202,0.126676726
"288",8071,"Las Animas County",0.289,0.150361401
"289",8073,"Lincoln County",0.303,0.147831706
"290",8075,"Logan County",0.38,0.155335973
"291",8077,"Mesa County",0.235,0.15635451
"292",8079,"Mineral County",0.211,0.127478242
"293",8081,"Moffat County",0.263,0.145815873
"294",8083,"Montezuma County",0.277,0.159055684
"295",8085,"Montrose County",0.209,0.154311813
"296",8087,"Morgan County",0.349,0.14186067
"297",8089,"Otero County",0.351,0.16209473
"298",8091,"Ouray County",0.219,0.126166883
"299",8093,"Park County",0.234,0.128533244
"300",8095,"Phillips County",0.314,0.122909558
"301",8097,"Pitkin County",0.142,0.122667728
"302",8099,"Prowers County",0.338,0.150380811
"303",8101,"Pueblo County",0.294,0.164281174
"304",8103,"Rio Blanco County",0.259,0.141335578
"305",8105,"Rio Grande County",0.275,0.141933816
"306",8107,"Routt County",0.156,0.143547055
"307",8109,"Saguache County",0.29,0.175601549
"308",8111,"San Juan County",0.248,0.160198923
"309",8113,"San Miguel County",0.188,0.143749448
"310",8115,"Sedgwick County",0.269,0.1385823
"311",8117,"Summit County",0.159,0.13712538
"312",8119,"Teller County",0.21,0.122943824
"313",8121,"Washington County",0.318,0.135394302
"314",8123,"Weld County",0.29,0.137483638
"315",8125,"Yuma County",0.278,0.142778092
"316",9000,"Connecticut",0.258,0.127309806
"317",9001,"Fairfield County",0.213,0.10157896
"318",9003,"Hartford County",0.262,0.11356248
"319",9005,"Litchfield County",0.277,0.120631412
"320",9007,"Middlesex County",0.255,0.113164406
"321",9009,"New Haven County",0.281,0.12843952
"322",9011,"New London County",0.296,0.123508397
"323",9013,"Tolland County",0.249,0.1054349
"324",9015,"Windham County",0.303,0.143569518
"325",10000,"Delaware",0.309,0.170300597
"326",10001,"Kent County",0.354,0.168237595
"327",10003,"New Castle County",0.287,0.152425581
"328",10005,"Sussex County",0.329,0.160850012
"329",11000,"District of Columbia",0.235,0.159655922
"330",11001,"District of Columbia",0.235,0.159655922
"331",12000,"Florida",0.266,0.160923724
"332",12001,"Alachua County",0.267,0.163808521
"333",12003,"Baker County",0.379,0.227319564
"334",12005,"Bay County",0.291,0.227082045
"335",12007,"Bradford County",0.366,0.229407378
"336",12009,"Brevard County",0.296,0.168664123
"337",12011,"Broward County",0.246,0.145937926
"338",12013,"Calhoun County",0.364,0.223848855
"339",12015,"Charlotte County",0.279,0.157608057
"340",12017,"Citrus County",0.293,0.195871561
"341",12019,"Clay County",0.321,0.198860048
"342",12021,"Collier County",0.213,0.144419099
"343",12023,"Columbia County",0.359,0.232948153
"344",12027,"DeSoto County",0.316,0.213119303
"345",12029,"Dixie County",0.342,0.246516505
"346",12031,"Duval County",0.314,0.197901584
"347",12033,"Escambia County",0.293,0.202458302
"348",12035,"Flagler County",0.259,0.174275318
